identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
794206,Christophe,Marion,Loir-et-Cher,3,Ensemble pour la République
840837,Pascal,Markowsky,Charente-Maritime,4,Rassemblement National
719080,Sandra,Marsaud,Charente,2,Ensemble pour la République
342384,Élisa,Martin,Isère,3,La France insoumise - Nouveau Front Populaire
870010,Sébastien,Martin,Saône-et-Loire,5,Droite Républicaine
841825,Patrice,Martin,Seine-Maritime,6,Rassemblement National
793342,Alexandra,Martin,Alpes-Maritimes,8,Droite Républicaine
795100,Éric,Martineau,Sarthe,3,Les Démocrates
794770,Michèle,Martinez,Pyrénées-Orientales,4,Rassemblement National
793314,Alexandra,Masson,Alpes-Maritimes,4,Rassemblement National
793330,Bryan,Masson,Alpes-Maritimes,6,Rassemblement National
720146,Denis,Masséglia,Maine-et-Loire,5,Ensemble pour la République
720976,Max,Mathiasin,Guadeloupe,3,"Libertés, Indépendants, Outre-mer et Territoires"
720728,Jean-Paul,Mattei,Pyrénées-Atlantiques,2,Les Démocrates
795422,Damien,Maudet,Haute-Vienne,1,La France insoumise - Nouveau Front Populaire
842271,Emmanuel,Maurel,Val-d'Oise,3,Gauche Démocrate et Républicaine
793616,Kévin,Mauvieux,Eure,3,Rassemblement National
794686,Marianne,Maximi,Puy-de-Dôme,1,La France insoumise - Nouveau Front Populaire
677483,Stéphane,Mazars,Aveyron,1,Ensemble pour la République
841931,Laurent,Mazaury,Yvelines,11,"Libertés, Indépendants, Outre-mer et Territoires"
719436,Nicolas,Meizonnet,Gard,2,Rassemblement National
719338,Graziella,Melchior,Finistère,5,Ensemble pour la République
720370,Ludovic,Mendes,Moselle,2,Ensemble pour la République
841463,Estelle,Mercier,Meurthe-et-Moselle,1,Socialistes et apparentés
841215,Marie,Mesmeur,Ille-et-Vilaine,1,La France insoumise - Nouveau Front Populaire
719640,Sophie,Mette,Gironde,9,Les Démocrates
795176,Nicolas,Metzdorf,Nouvelle-Calédonie,1,Ensemble pour la République
719272,Frédérique,Meunier,Corrèze,2,Droite Républicaine
795482,Manon,Meunier,Haute-Vienne,3,La France insoumise - Nouveau Front Populaire
793852,Pierre,Meurin,Gard,4,Rassemblement National
841395,Maxime,Michelet,Marne,3,Union des droites pour la République
841769,Éric,Michoux,Saône-et-Loire,4,Union des droites pour la République
795664,Paul,Midy,Essonne,5,Ensemble pour la République
817203,Laure,Miller,Marne,2,Ensemble pour la République
643104,Christelle,Minard,Eure-et-Loir,2,Droite Républicaine
795962,Joséphine,Missoffe,Paris,14,Ensemble pour la République
607619,Paul,Molac,Morbihan,4,"Libertés, Indépendants, Outre-mer et Territoires"
793174,Yannick,Monnet,Allier,1,Gauche Démocrate et Républicaine
840915,Thibaut,Monnier,Drôme,4,Rassemblement National
794810,Louise,Morel,Bas-Rhin,6,Les Démocrates
